Type	MGI ID	Symbol	Name	Chr	Start	End	Build	Strand	Best Match Type	Best Match
protein coding gene	MGI:97568	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	5	8848147	8916314	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:97569	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	5	8943717	9009231	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1924956	Abcb5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	12	118831559	118930156	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1	75148361	75157036	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:109533	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	X	103324263	103457462	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1351667	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	5	24598661	24615052	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1861729	Abcb9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	5	124199920	124234009	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2	69068626	69172960	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16	14179317	14292743	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1923658	Abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	11	94234121	94283823	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	14	118720104	118943631	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1351644	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	16	20150053	20245144	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1351634	Abcc6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	7	45625804	45679915	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6	142533588	142648041	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2386976	Abcc10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	17	46614146	46638956	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2441679	Abcc12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	8	87231197	87307317	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	X	72760203	72782140	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1349467	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	15	91030074	91076002	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1349216	Abcd3	ATP-binding cassette, sub-family D (ALD), member 3	3	121552423	121608951	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1349217	Abcd4	ATP-binding cassette, sub-family D (ALD), member 4	12	84648634	84664259	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	17	31276668	31336958	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6	58561476	58669436	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1351624	Abcg3	ATP binding cassette subfamily G member 3	5	105082923	105130584	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1890594	Abcg4	ATP binding cassette subfamily G member 4	9	44184485	44199912	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1351659	Abcg5	ATP binding cassette subfamily G member 5	17	84965662	84990439	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1914720	Abcg8	ATP binding cassette subfamily G member 8	17	84983730	85007761	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1914344	Abhd2	abhydrolase domain containing 2	7	78923002	79015257	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2147183	Abhd3	abhydrolase domain containing 3	18	10644411	10706784	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1916154	Abhd13	abhydrolase domain containing 13	8	10027717	10042155	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1915894	Abhd14a	abhydrolase domain containing 14A	9	106317250	106324877	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:99476	Abhd16a	abhydrolase domain containing 16A	17	35308239	35321963	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2135738	Abo	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase)	2	26732515	26754991	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1921409	Acbd5	acyl-Coenzyme A binding domain containing 5	2	22958178	23004525	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11	105858774	105880790	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X	162922338	162971414	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:3644400	Ace3	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3	11	105885501	105896269	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2181962	Acer1	alkaline ceramidase 1	17	57260490	57289126	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1920932	Acer2	alkaline ceramidase 2	4	86792633	86853059	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1913440	Acer3	alkaline ceramidase 3	7	97863015	97970415	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1097689	Ackr1	atypical chemokine receptor 1 (Duffy blood group)	1	173159453	173161070	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1891697	Ackr2	atypical chemokine receptor 2	9	121727421	121740140	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:109562	Ackr3	atypical chemokine receptor 3	1	90131702	90143446	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2181676	Ackr4	atypical chemokine receptor 4	9	103974881	104003842	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:87882	Acp2	acid phosphatase 2, lysosomal	2	91033230	91044443	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:3644563	Acp4	acid phosphatase 4	7	43901572	43906802	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1928480	Acpp	acid phosphatase, prostate	9	104165439	104214921	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:102797	Acsl1	acyl-CoA synthetase long-chain family member 1	8	46924074	46989088	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1921455	Acsl3	acyl-CoA synthetase long-chain family member 3	1	78635542	78685460	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1354713	Acsl4	acyl-CoA synthetase long-chain family member 4	X	141100989	141173531	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1919129	Acsl5	acyl-CoA synthetase long-chain family member 5	19	55240298	55285060	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:894291	Acsl6	acyl-CoA synthetase long-chain family member 6	11	54194624	54255582	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:87911	Acvr1	activin A receptor, type 1	2	58336450	58456840	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1338944	Acvr1b	activin A receptor, type 1B	15	101071953	101111565	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2661081	Acvr1c	activin A receptor, type IC	2	58157465	58247907	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:102806	Acvr2a	activin receptor IIA	2	48704121	48793276	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:87912	Acvr2b	activin receptor IIB	9	119231184	119264061	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15	101026403	101043217	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2429504	Adam1a	a disintegrin and metallopeptidase domain 1a	5	121656667	121659758	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2429506	Adam1b	a disintegrin and metallopeptidase domain 1b	5	121638161	121641498	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1340894	Adam2	a disintegrin and metallopeptidase domain 2	14	66264778	66315182	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:102518	Adam3	a disintegrin and metallopeptidase domain 3 (cyritestin)	8	25167241	25215868	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:104730	Adam5	a disintegrin and metallopeptidase domain 5	8	25217109	25314385	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:107247	Adam7	a disintegrin and metallopeptidase domain 7	14	68734785	68771138	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7	139558845	139572475	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:105376	Adam9	a disintegrin and metallopeptidase domain 9 (meltrin gamma)	8	25439627	25506943	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9	70586279	70687511	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1098667	Adam11	a disintegrin and metallopeptidase domain 11	11	102652265	102671088	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:105378	Adam12	a disintegrin and metallopeptidase domain 12 (meltrin alpha)	7	133484928	133826826	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1333882	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)	3	89246947	89257589	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12	21373510	21423633	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:105986	Adam18	a disintegrin and metallopeptidase domain 18	8	25092262	25164771	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:105377	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)	11	45946819	46038170	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1861229	Adam21	a disintegrin and metallopeptidase domain 21	12	81605358	81615248	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:105984	Adam24	a disintegrin and metallopeptidase domain 24 (testase 1)	8	41128118	41135238	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1345157	Adam25	a disintegrin and metallopeptidase domain 25 (testase 2)	8	41205245	41209213	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:105985	Adam26a	a disintegrin and metallopeptidase domain 26A (testase 3)	8	44021315	44029744	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:105988	Adam28	a disintegrin and metallopeptidase domain 28	14	68843476	68893291	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2676326	Adam29	a disintegrin and metallopeptidase domain 29	8	56323947	56359983	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2653822	Adam32	a disintegrin and metallopeptidase domain 32	8	25326156	25438820	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1341813	Adam33	a disintegrin and metallopeptidase domain 33	2	130892739	130905734	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1889336	Adck2	aarF domain containing kinase 2	6	39550807	39565703	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2679274	Adck5	aarF domain containing kinase 5	15	76460559	76480012	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:99676	Adcy2	adenylate cyclase 2	13	68768162	69147660	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:99675	Adcy3	adenylate cyclase 3	12	4183397	4263525	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:99674	Adcy4	adenylate cyclase 4	14	56006514	56021552	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:99673	Adcy5	adenylate cyclase 5	16	34975247	35126108	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:87917	Adcy6	adenylate cyclase 6	15	98487854	98507957	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:102891	Adcy7	adenylate cyclase 7	8	88999031	89056590	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:108450	Adcy9	adenylate cyclase 9	16	4105393	4238362	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:108449	Adcyap1r1	adenylate cyclase activating polypeptide 1 receptor 1	6	55428963	55478436	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1277167	Adgra1	adhesion G protein-coupled receptor A1	7	139414090	139458004	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1925810	Adgra2	adhesion G protein-coupled receptor A2	8	27575611	27613464	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1917943	Adgra3	adhesion G protein-coupled receptor A3	5	50117293	50216338	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2451244	Adgrb2	adhesion G protein-coupled receptor B2	4	129878663	129916426	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	1	25106557	25868788	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:3041203	Adgrd1	adhesion G protein-coupled receptor D1	5	129173814	129281663	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:106912	Adgre1	adhesion G protein-coupled receptor E1	17	57665691	57790527	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1196464	Adgre4	adhesion G protein-coupled receptor E4	17	56056984	56160662	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1347095	Adgre5	adhesion G protein-coupled receptor E5	8	84449874	84467940	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1924846	Adgrf1	adhesion G protein-coupled receptor F1	17	43581220	43635628	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2182728	Adgrf2	adhesion G protein-coupled receptor F2	17	43007021	43053070	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2685887	Adgrf3	adhesion G protein-coupled receptor F3	5	30398429	30410720	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1925499	Adgrf4	adhesion G protein-coupled receptor F4	17	42967782	43003175	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2182928	Adgrf5	adhesion G protein-coupled receptor F5	17	43671342	43770448	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1340051	Adgrg1	adhesion G protein-coupled receptor G1	8	95701384	95740836	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2446854	Adgrg2	adhesion G protein-coupled receptor G2	X	159173686	159281066	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1859670	Adgrg3	adhesion G protein-coupled receptor G3	8	95744320	95771878	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2685213	Adgrg4	adhesion G protein-coupled receptor G4	X	55939594	56025719	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2685955	Adgrg5	adhesion G protein-coupled receptor G5	8	95650322	95669908	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1916151	Adgrg6	adhesion G protein-coupled receptor G6	10	14278327	14421403	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2441732	Adgrg7	adhesion G protein-coupled receptor G7	16	56544972	56616218	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2441950	Adgrl3	adhesion G protein-coupled receptor L3	5	81167985	81972980	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2655562	Adgrl4	adhesion G protein-coupled receptor L4	3	151143519	151250718	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1274784	Adgrv1	adhesion G protein-coupled receptor V1	13	81243187	81781273	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2675492	Adig	adipogenin	2	158344532	158350118	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1919924	Adipor1	adiponectin receptor 1	1	134343116	134361089	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:93830	Adipor2	adiponectin receptor 2	6	119330111	119394489	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:99403	Adora2b	adenosine A2b receptor	11	62139810	62157278	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:104774	Adra1b	adrenergic receptor, alpha 1b	11	43665433	43792037	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:106673	Adra1d	adrenergic receptor, alpha 1d	2	131387770	131404203	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:87935	Adra2b	adrenergic receptor, alpha 2b	2	127205128	127209141	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:87938	Adrb2	adrenergic receptor, beta 2	18	62310887	62313030	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:87939	Adrb3	adrenergic receptor, beta 3	8	27715804	27720833	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1924596	Adtrp	androgen dependent TFPI regulating protein	13	41916621	42001092	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1928277	Afg3l1	AFG3-like AAA ATPase 1	8	124204642	124230655	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1916847	Afg3l2	AFG3-like AAA ATPase 2	18	67537834	67582242	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:893592	Ager	advanced glycosylation end product-specific receptor	17	34816836	34819910	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
